,0
0,2349
1,42141
2,133566
3,133567
4,253578
5,550117
6,595547
7,595548
8,673865
9,673866
10,686015
11,704368
12,704369
13,704370
14,704371
15,704372
16,948886
17,948887
18,948888
19,948889
20,948890
21,948891
22,948892
23,948893
24,948894
25,948895
26,948896
27,948897
28,948898
29,948899
30,948900
31,948901
32,948902
33,948903
34,948904
35,948905
36,948906
37,948907
38,948908
39,948909
40,948910
41,948911
42,948912
43,948913
44,948914
45,948915
46,948916
47,948917
48,948918
49,948919
50,948920
51,948921
52,948922
53,948923
54,948924
55,948925
56,948926
57,948927
58,948928
59,948929
60,948930
61,948931
62,948932
63,948933
64,948934
65,948935
66,948936
67,948937
68,948938
69,948939
70,948940
71,948941
72,948942
73,948943
74,948944
75,948945
76,948946
77,948947
78,948948
79,948949
80,948950
81,948951
82,948952
83,948953
84,948954
85,948955
86,948956
87,948957
88,948958
89,948959
90,948960
91,948961
92,948962
93,948963
94,948964
95,948965
96,948966
97,948967
98,948968
99,948969
100,948970
101,948971
102,948972
103,948973
104,948974
105,948975
106,948976
107,948977
108,948978
109,948979
110,948980
111,948981
112,948982
113,948983
114,948984
115,948985
116,948986
117,948987
118,948988
119,948989
120,948990
121,948991
122,948992
123,948993
124,948994
125,948995
126,948996
127,948997
128,948998
129,948999
130,949000
131,949001
132,949002
133,949003
134,949004
135,949005
136,949006
137,949007
138,949008
139,949009
140,949010
141,949011
142,949012
143,949013
144,949014
145,949015
146,949016
147,949017
148,949018
149,949019
150,949020
151,949021
152,949022
153,949023
154,949024
155,949025
156,949026
157,949027
158,949028
159,949029
160,949030
161,949031
162,949032
163,949033
164,949034
165,949035
166,949036
167,949037
168,949038
169,949039
170,949040
171,949041
172,949042
173,949043
174,949044
175,949045
176,949046
177,949047
178,949048
179,949049
180,949050
181,949051
182,949052
183,949053
184,949054
185,949055
186,949056
187,949057
188,949058
189,949059
190,949060
191,949061
192,949062
193,949063
194,949064
195,949065
196,949066
197,949067
198,949068
199,949069
200,949070
201,949071
202,949072
203,949073
204,949074
205,949075
206,949076
207,949077
208,949078
209,949079
210,949080
211,949081
212,949082
213,949083
214,949084
215,949085
216,949086
217,949087
218,949088
219,949089
220,949090
221,949091
222,949092
223,949093
224,949094
225,949095
226,949096
227,949097
228,949098
229,949099
230,949100
231,949101
232,949102
233,949103
234,949104
235,949105
236,949106
237,949107
238,949108
239,949109
240,949110
241,949111
242,949112
243,949113
244,949114
245,949115
246,949116
247,949117
248,949118
249,949119
250,949120
251,949121
252,949122
253,949123
254,949124
255,949125
256,949126
257,949127
258,949128
259,949129
260,949130
261,949131
262,949132
263,949133
264,949134
265,949135
266,949136
267,949137
268,949138
269,949139
270,949140
271,949141
272,949142
273,949143
274,949144
275,949145
276,949146
277,949147
278,949148
279,949149
280,949150
281,949151
282,949152
283,949153
284,949154
285,949155
286,949156
287,949157
288,949158
289,949159
290,949160
291,949161
292,949162
293,949163
294,949164
295,949165
296,949166
297,949167
298,949168
299,949169
300,949170
301,949171
302,949172
303,949173
304,949174
305,949175
306,949176
307,949177
308,949178
309,949179
310,949180
311,949181
312,949182
313,949183
314,949184
315,949185
316,949186
317,949187
318,949188
319,949189
320,949190
321,949191
322,949192
323,949193
324,949194
325,949195
326,949196
327,949197
328,949198
329,949199
330,949200
331,949201
332,949202
333,949203
334,949204
335,949205
336,949206
337,949207
338,949208
339,949209
340,949210
341,949211
342,949212
343,949213
344,949214
345,949215
346,949216
347,949217
348,949218
349,949219
350,949220
351,949221
352,949222
353,949223
354,949224
355,949225
356,949226
357,949227
358,949228
359,949229
360,949230
361,949231
362,949232
363,949233
364,949234
365,949235
366,949236
367,949237
368,949238
369,949239
370,949240
371,949241
372,949242
373,949243
374,949244
375,949245
376,949246
377,949247
378,949248
379,949249
380,949250
381,949251
382,949252
383,949253
384,949254
385,949255
386,949256
387,949257
388,949258
389,949259
390,949260
391,949261
392,949262
393,949263
394,949264
395,949265
396,949266
